   n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, selection_cmp, selection_swaps, selection_time, heap_cmp, heap_swaps, heap_time
 217,         12083,           11871,           3197,      2451,         558,        367,         23436,             213,           1533,     2712,       1493,       392
 218,         12118,           11905,           3243,      2385,         560,        376,         23653,             213,           1556,     2715,       1493,       395
 219,         12152,           11938,           3247,      2304,         564,        356,         23871,             214,           1575,     2723,       1494,       398
 220,         12197,           11982,           3276,      2249,         569,        353,         24090,             216,           1591,     2750,       1520,       402
 221,         12396,           12180,           3324,      2534,         543,        427,         24310,             214,           1586,     2759,       1520,       402
 222,         12468,           12251,           3362,      2482,         567,        373,         24531,             215,           1597,     2774,       1533,       404
 223,         12591,           12373,           3429,      2351,         589,        369,         24753,             213,           1617,     2797,       1535,       407
 224,         12633,           12414,           3384,      2357,         576,        361,         24976,             214,           1641,     2815,       1558,       411
 225,         12673,           12453,           3377,      2875,         557,        414,         25200,             215,           1659,     2822,       1559,       410
 226,         12779,           12558,           3446,      2348,         575,        364,         25425,             216,           1880,     2856,       1572,       438
 227,         12926,           12704,           3405,      2379,         569,        361,         25651,             220,           1679,     2863,       1584,       417
 228,         12972,           12749,           3503,      2381,         598,        394,         25878,             221,           1704,     2871,       1587,       418
 229,         13096,           12872,           3505,      2890,         572,        420,         26106,             222,           1715,     2887,       1590,       455
 230,         13127,           12902,           3768,      2352,         585,        395,         26335,             224,           1729,     2918,       1614,       436
 231,         13205,           12979,           3750,      2525,         596,        414,         26565,             223,           1784,     2926,       1611,       424
 232,         13341,           13114,           3549,      2568,         587,        388,         26796,             226,           1782,     2940,       1626,       427
 233,         13456,           13228,           3749,      2562,         589,        407,         27028,             228,           1873,     2949,       1624,       436
 234,         13580,           13351,           3714,      2661,         600,        478,         27261,             227,           1791,     2972,       1645,       430
 235,         13739,           13509,           3720,      2677,         595,        400,         27495,             231,           1804,     2982,       1653,       437
 236,         13928,           13697,           3738,      2428,         616,        379,         27730,             231,           1866,     3013,       1653,       445
 237,         14014,           13782,           3785,      2791,         610,        417,         27966,             230,           1836,     3020,       1666,       445
 238,         14030,           13797,           3787,      2899,         622,        429,         28203,             231,           1866,     3022,       1671,       441
 239,         14197,           13963,           3823,      2805,         618,        422,         28441,             235,           1986,     3042,       1683,       463
 240,         14198,           13963,           3830,      2605,         619,        400,         28680,             235,           1950,     3062,       1695,       449
 241,         14363,           14127,           3871,      3079,         614,        451,         28920,             237,           1895,     3081,       1697,       463
 242,         14379,           14142,           3841,      2781,         622,        425,         29161,             238,           1922,     3086,       1702,       453
 243,         14610,           14372,           4516,      2678,         629,        629,         29403,             238,           2177,     3088,       1694,       452
 244,         14710,           14471,           4417,      2768,         619,        420,         29646,             239,           2200,     3106,       1707,       513
 245,         14947,           14707,           4509,      2644,         643,        413,         29890,             241,           2394,     3127,       1723,       564
 246,         15105,           14864,           4398,      2753,         634,        423,         30135,             238,           2018,     3149,       1740,       466
 247,         15307,           15065,           4359,      2691,         647,        428,         30381,             243,           2121,     3165,       1735,       652
 248,         15412,           15169,           4519,      2711,         654,        451,         30628,             243,           2245,     3176,       1755,       470
 249,         15477,           15233,           4704,      2850,         635,        501,         30876,             245,           2172,     3196,       1755,       470
 250,         15490,           15245,           4151,      2683,         653,        415,         31125,             247,           2034,     3199,       1753,       471
 251,         15503,           15257,           4163,      2711,         642,        440,         31375,             245,           2042,     3230,       1775,       466
 252,         15621,           15374,           4249,      2847,         669,        434,         31626,             248,           2068,     3242,       1786,       471
 253,         15769,           15521,           4221,      2851,         664,        440,         31878,             247,           2084,     3250,       1779,       488
 254,         15802,           15553,           4249,      3051,         655,        470,         32131,             249,           2148,     3276,       1795,       477
 255,         15933,           15683,           4361,      2745,         680,        427,         32385,             251,           2099,     3287,       1809,       520
 256,         16183,           15932,           4376,      2986,         660,        445,         32640,             254,           2166,     3299,       1810,       493
 257,         16408,           16156,           4440,      3050,         659,        473,         32896,             252,           2131,     3312,       1818,       492
 258,         16665,           16412,           4517,      2895,         658,        445,         33153,             248,           2256,     3322,       1828,       488
 259,         16796,           16542,           4505,      2907,         677,        447,         33411,             252,           2230,     3339,       1838,       505
 260,         16854,           16599,           6502,      2827,         664,        628,         33670,             253,           3353,     3356,       1849,       840
 261,         17113,           16857,           4872,      2855,         691,        457,         33930,             257,           2347,     3376,       1849,       495
 262,         17342,           17085,           5249,      3012,         660,        461,         34191,             257,           2246,     3393,       1867,       504
 263,         17597,           17339,           4751,      2849,         682,        449,         34453,             257,           2303,     3395,       1867,       504
 264,         17803,           17544,           4825,      2795,         683,        454,         34716,             256,           2322,     3422,       1880,       508
